genome	rl	damagelevel	covbin	noContigs	totallength	alignmentlength	softcliplength
Msmithii	medium	2	2	18	58142	56203	1939
Msmithii	short	4	5	56	1788209	1783672	4537
Msmithii	short	7	6	54	1791819	1787258	4560
Tforsythia	short	3	4	229	3061177	3043442	17698
Tforsythia	long	2	3	289	3112905	3046014	66858
Tforsythia	short	5	6	156	3116190	3082547	33615
Tforsythia	long	2	4	136	3229098	2962406	266634
Tforsythia	short	9	7	160	3123598	3094000	29567
Tforsythia	medium	4	3	433	2767513	2722666	44315
Tforsythia	short	9	4	217	3064395	3047008	17385
Tforsythia	medium	7	5	135	3217868	2982719	235123
Adentalis	long	8	6	106	3461805	3222948	238856
Adentalis	short	0	0	0	0	0	0
Tforsythia	short	5	2	3	8160	8042	118
Tforsythia	long	2	2	194	683246	675875	7367
Msmithii	medium	7	0	0	0	0	0
Tforsythia	long	3	5	106	3257261	2945312	311870
Tforsythia	short	3	2	2	5553	5501	52
Adentalis	medium	3	2	26	78071	76222	1849
Msmithii	short	4	4	86	1775503	1758309	17193
Tforsythia	long	8	2	161	526578	517869	8705
Adentalis	short	1	4	380	3074812	2996141	78671
Tforsythia	medium	4	5	127	3219655	3010843	208768
Adentalis	short	1	0	0	0	0	0
Adentalis	medium	7	0	0	0	0	0
Msmithii	medium	2	3	224	1614472	1596139	18333
Tforsythia	short	3	5	165	3104845	3066096	38727
Tforsythia	long	5	6	115	3246594	3060073	186456
Tforsythia	long	6	4	143	3236444	3022191	214144
Adentalis	long	5	4	181	3436406	3259716	176679
Adentalis	long	8	7	110	3473395	3255195	218200
Adentalis	short	6	3	389	1557896	1545936	11957
Tforsythia	long	8	3	319	3084036	2986398	97602
Tforsythia	long	8	5	115	3267649	2917561	350010
Tforsythia	long	6	7	108	3254332	2946843	307439
Msmithii	medium	2	1	0	0	0	0
Msmithii	long	0	3	104	1784359	1754328	30023
Msmithii	long	2	2	117	399205	397994	1210
Msmithii	short	3	5	58	1788924	1784284	4640
Tforsythia	long	7	3	307	3113054	3036366	76636
Adentalis	long	0	0	0	0	0	0
Msmithii	long	5	2	121	416443	414379	2063
Tforsythia	long	7	2	172	584589	576895	7690
Msmithii	long	6	3	125	1778705	1756147	22541
Adentalis	medium	2	6	137	3447646	3164464	283178
Msmithii	long	8	6	33	1820409	1813070	7339
Msmithii	short	5	3	253	1068676	1063337	5337
Msmithii	long	2	1	0	0	0	0
Msmithii	long	7	2	114	393480	391882	1597
Msmithii	long	1	1	1	2502	2223	279
Msmithii	long	0	1	1	2502	2223	279
Msmithii	long	8	2	106	362903	361514	1389
Msmithii	short	3	7	57	1794548	1768861	25686
Msmithii	short	3	6	53	1790210	1756398	33812
Msmithii	short	5	5	57	1788711	1784063	4648
Tforsythia	long	3	3	297	3121490	3034539	86927
Adentalis	medium	8	3	498	2554503	2515529	38927
Tforsythia	medium	5	6	119	3245652	2965209	280304
